annex_a,quota_period,line,label,category,value,repaired
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Total Quota for Feb 2020 to Apr 2020,Total Quota for Feb 2020 to Apr 2020 Bidding Exercises (A + B + C),B,5898,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Total Quota for Feb 2020 to Apr 2020,Total Quota for Feb 2020 to Apr 2020 Bidding Exercises (A + B + C),C,1889,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Total Quota for Feb 2020 to Apr 2020,Total Quota for Feb 2020 to Apr 2020 Bidding Exercises (A + B + C),D,3465,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Total Quota for Feb 2020 to Apr 2020,Total Quota for Feb 2020 to Apr 2020 Bidding Exercises (A + B + C),E,1967,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Total Quota for Feb 2020 to Apr 2020,Total Quota for Feb 2020 to Apr 2020 Bidding Exercises (A + B + C),Total,19055,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Average Monthly Quota for Feb 2020 to Apr 2020,Average Monthly Quota for Feb 2020 to Apr 2020 Bidding Exercises,A,1945,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Average Monthly Quota for Feb 2020 to Apr 2020,Average Monthly Quota for Feb 2020 to Apr 2020 Bidding Exercises,B,1966,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Average Monthly Quota for Feb 2020 to Apr 2020,Average Monthly Quota for Feb 2020 to Apr 2020 Bidding Exercises,C,629,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Average Monthly Quota for Feb 2020 to Apr 2020,Average Monthly Quota for Feb 2020 to Apr 2020 Bidding Exercises,D,1155,False
2020-01-certificate-of-entitlement-quota-for-february-2020-to-april-2020.annex-a.pdf,Feb 2020 to Apr 2020,Average Monthly Quota for Feb 2020 to Apr 2020,Average Monthly Quota for Feb 2020 to Apr 2020 Bidding Exercises,E,655,False
