lever_set,b_A,b_B,b_C,pcu_C,growth_upper,categories,jacobian_s2,jacobian_s3,r2_O1,r2_O2,r2_O3,largest_unexplained,o3_flat,front_s2,front_s3,front_n
injection,-0.5,-1.0,-1.0,1.0,0.01,ABC,0.0985,0.0100,0.96612,0.99736,0.99472,0.1841,False,0.5626,0.0292,200
injection,-0.5,-1.0,-1.0,1.0,0.03,ABCDE,0.1088,0.0379,0.99445,0.98915,0.97368,0.1622,False,0.3881,0.0338,200
injection,-0.5,-1.0,-1.0,1.0,0.03,ABC,0.1609,0.0146,0.93114,0.98915,0.97368,0.2624,False,0.5290,0.0269,200
injection,-0.5,-1.0,-1.0,1.5,0.01,ABCDE,0.0611,0.0107,0.99883,0.99499,0.99472,0.0726,False,0.0578,0.0107,200
injection,-0.5,-1.0,-1.0,1.5,0.01,ABC,0.0999,0.0251,0.96612,0.99499,0.99472,0.1841,False,0.5697,0.0354,200
injection,-0.5,-1.0,-1.0,1.5,0.03,ABCDE,0.1286,0.0244,0.99445,0.97967,0.97368,0.1622,False,0.1210,0.0112,200
injection,-0.5,-1.0,-1.0,1.5,0.03,ABC,0.1680,0.0399,0.93114,0.97967,0.97368,0.2624,False,0.4767,0.0306,200
injection,-0.5,-1.0,-1.0,2.0,0.01,ABCDE,0.0737,0.0055,0.99883,0.98943,0.99472,0.1028,False,0.0435,0.0043,200
injection,-0.5,-1.0,-1.0,2.0,0.01,ABC,0.1026,0.0388,0.96612,0.98943,0.99472,0.1841,False,0.5053,0.0395,200
injection,-0.5,-1.0,-1.0,2.0,0.03,ABCDE,0.1538,0.0143,0.99445,0.95726,0.97368,0.2067,False,0.0596,0.0063,200
injection,-0.5,-1.0,-1.0,2.0,0.03,ABC,0.1787,0.0617,0.93114,0.95726,0.97368,0.2624,False,0.4844,0.0413,200
injection,-0.5,-1.0,-1.0,3.0,0.01,ABCDE,0.1018,0.0020,0.99883,0.96938,0.99472,0.1750,False,0.0327,0.0031,200
injection,-0.5,-1.0,-1.0,3.0,0.01,ABC,0.1150,0.0604,0.96612,0.96938,0.99472,0.1841,False,0.5715,0.0286,200
injection,-0.5,-1.0,-1.0,3.0,0.03,ABCDE,0.2073,0.0034,0.99445,0.88390,0.97368,0.3407,False,0.0312,0.0039,200
injection,-0.5,-1.0,-1.0,3.0,0.03,ABC,0.2151,0.0899,0.93114,0.88390,0.97368,0.3407,False,0.4597,0.0337,200
injection,-0.5,-1.0,-2.0,1.0,0.01,ABCDE,0.1542,0.0230,0.98598,0.99736,0.93798,0.2490,False,0.5312,0.0350,200
injection,-0.5,-1.0,-2.0,1.0,0.01,ABC,0.1892,0.0203,0.94282,0.99736,0.93798,0.2490,False,0.6172,0.0604,200
injection,-0.5,-1.0,-2.0,1.0,0.03,ABCDE,0.2787,0.0457,0.95371,0.98915,0.79816,0.4493,False,0.5708,0.0293,200
injection,-0.5,-1.0,-2.0,1.0,0.03,ABC,0.3081,0.0232,0.88488,0.98915,0.79816,0.4493,False,0.4705,0.0280,200
injection,-0.5,-1.0,-2.0,1.5,0.01,ABCDE,0.1607,0.0204,0.98598,0.99499,0.93798,0.2490,False,0.5981,0.0275,200
injection,-0.5,-1.0,-2.0,1.5,0.01,ABC,0.1931,0.0280,0.94282,0.99499,0.93798,0.2490,False,0.4979,0.0627,200
injection,-0.5,-1.0,-2.0,1.5,0.03,ABCDE,0.2940,0.0396,0.95371,0.97967,0.79816,0.4493,False,0.5850,0.0275,200
injection,-0.5,-1.0,-2.0,1.5,0.03,ABC,0.3204,0.0365,0.88488,0.97967,0.79816,0.4493,False,0.4940,0.0448,200
injection,-0.5,-1.0,-2.0,2.0,0.01,ABCDE,0.1696,0.0178,0.98598,0.98943,0.93798,0.2490,False,0.5195,0.0216,200
injection,-0.5,-1.0,-2.0,2.0,0.01,ABC,0.1984,0.0350,0.94282,0.98943,0.93798,0.2490,False,0.6208,0.0498,200
injection,-0.5,-1.0,-2.0,2.0,0.03,ABCDE,0.3114,0.0334,0.95371,0.95726,0.79816,0.4493,False,0.6393,0.0232,200
injection,-0.5,-1.0,-2.0,2.0,0.03,ABC,0.3350,0.0477,0.88488,0.95726,0.79816,0.4493,False,0.4975,0.0356,200
injection,-0.5,-1.0,-2.0,3.0,0.01,ABCDE,0.1904,0.0129,0.98598,0.96938,0.93798,0.2490,False,0.1613,0.0102,200
injection,-0.5,-1.0,-2.0,3.0,0.01,ABC,0.2141,0.0462,0.94282,0.96938,0.93798,0.2490,False,0.4787,0.0493,200
injection,-0.5,-1.0,-2.0,3.0,0.03,ABCDE,0.3489,0.0232,0.95371,0.88390,0.79816,0.4493,False,0.3189,0.0142,200
injection,-0.5,-1.0,-2.0,3.0,0.03,ABC,0.3663,0.0652,0.88488,0.88390,0.79816,0.4493,False,0.5653,0.0533,200
injection,-0.5,-2.0,-0.5,1.0,0.01,ABCDE,0.4548,0.0103,0.98577,0.99736,0.35189,0.8051,False,0.6235,0.0359,200
injection,-0.5,-2.0,-0.5,1.0,0.01,ABC,0.4954,0.0123,0.94289,0.99736,0.35189,0.8051,False,0.6920,0.0324,200
injection,-0.5,-2.0,-0.5,1.0,0.03,ABCDE,0.5778,0.0273,0.96920,0.98915,0.02958,0.9851,False,0.5556,0.0273,200
injection,-0.5,-2.0,-0.5,1.0,0.03,ABC,0.5630,0.0131,0.90351,0.98915,0.02958,0.9851,False,0.5482,0.0256,200
injection,-0.5,-2.0,-0.5,1.5,0.01,ABCDE,0.4548,0.0287,0.98577,0.99499,0.35189,0.8051,False,0.5663,0.0276,200
injection,-0.5,-2.0,-0.5,1.5,0.01,ABC,0.4977,0.0065,0.94289,0.99499,0.35189,0.8051,False,0.6177,0.0233,200
injection,-0.5,-2.0,-0.5,1.5,0.03,ABCDE,0.5854,0.0618,0.96920,0.97967,0.02958,0.9851,False,0.5182,0.0462,200
injection,-0.5,-2.0,-0.5,1.5,0.03,ABC,0.5733,0.0209,0.90351,0.97967,0.02958,0.9851,False,0.6215,0.0323,200
injection,-0.5,-2.0,-0.5,2.0,0.01,ABCDE,0.4558,0.0472,0.98577,0.98943,0.35189,0.8051,False,0.5568,0.0450,200
injection,-0.5,-2.0,-0.5,2.0,0.01,ABC,0.4995,0.0254,0.94289,0.98943,0.35189,0.8051,False,0.6110,0.0504,200
injection,-0.5,-2.0,-0.5,2.0,0.03,ABCDE,0.5939,0.0958,0.96920,0.95726,0.02958,0.9851,False,0.5647,0.0419,200
injection,-0.5,-2.0,-0.5,2.0,0.03,ABC,0.5819,0.0537,0.90351,0.95726,0.02958,0.9851,False,0.5989,0.0563,200
injection,-0.5,-2.0,-0.5,3.0,0.01,ABCDE,0.4590,0.0830,0.98577,0.96938,0.35189,0.8051,False,0.6363,0.0435,200
injection,-0.5,-2.0,-0.5,3.0,0.01,ABC,0.5036,0.0624,0.94289,0.96938,0.35189,0.8051,False,0.5537,0.0713,200
injection,-0.5,-2.0,-0.5,3.0,0.03,ABCDE,0.6079,0.1584,0.96920,0.88390,0.02958,0.9851,False,0.5828,0.0717,200
injection,-0.5,-2.0,-0.5,3.0,0.03,ABC,0.5994,0.1148,0.90351,0.88390,0.02958,0.9851,False,0.5934,0.0689,200
injection,-0.5,-2.0,-1.0,1.0,0.01,ABCDE,0.4960,0.0030,0.98688,0.99736,0.36492,0.7969,False,0.5971,0.0197,200
injection,-0.5,-2.0,-1.0,1.0,0.01,ABC,0.5429,0.0055,0.94286,0.99736,0.36492,0.7969,False,0.5850,0.0206,200
injection,-0.5,-2.0,-1.0,1.0,0.03,ABCDE,0.6374,0.0071,0.97434,0.98915,0.03351,0.9831,False,0.5886,0.0162,200
injection,-0.5,-2.0,-1.0,1.0,0.03,ABC,0.6188,0.0039,0.90571,0.98915,0.03351,0.9831,False,0.5794,0.0201,200
injection,-0.5,-2.0,-1.0,1.5,0.01,ABCDE,0.4975,0.0219,0.98688,0.99499,0.36492,0.7969,False,0.6135,0.0267,200
injection,-0.5,-2.0,-1.0,1.5,0.01,ABC,0.5448,0.0136,0.94286,0.99499,0.36492,0.7969,False,0.6173,0.0444,200
injection,-0.5,-2.0,-1.0,1.5,0.03,ABCDE,0.6430,0.0432,0.97434,0.97967,0.03351,0.9831,False,0.5894,0.0212,200
injection,-0.5,-2.0,-1.0,1.5,0.03,ABC,0.6292,0.0326,0.90571,0.97967,0.03351,0.9831,False,0.6243,0.0417,200
injection,-0.5,-2.0,-1.0,2.0,0.01,ABCDE,0.5000,0.0405,0.98688,0.98943,0.36492,0.7969,False,0.5796,0.0268,200
injection,-0.5,-2.0,-1.0,2.0,0.01,ABC,0.5475,0.0328,0.94286,0.98943,0.36492,0.7969,False,0.6857,0.0480,200
injection,-0.5,-2.0,-1.0,2.0,0.03,ABCDE,0.6449,0.0791,0.97434,0.95726,0.03351,0.9831,False,0.5437,0.0328,200
injection,-0.5,-2.0,-1.0,2.0,0.03,ABC,0.6358,0.0683,0.90571,0.95726,0.03351,0.9831,False,0.6020,0.0411,200
injection,-0.5,-2.0,-1.0,3.0,0.01,ABCDE,0.5080,0.0765,0.98688,0.96938,0.36492,0.7969,False,0.6035,0.0439,200
injection,-0.5,-2.0,-1.0,3.0,0.01,ABC,0.5555,0.0700,0.94286,0.96938,0.36492,0.7969,False,0.6045,0.0445,200
injection,-0.5,-2.0,-1.0,3.0,0.03,ABCDE,0.6540,0.1460,0.97434,0.88390,0.03351,0.9831,False,0.4695,0.0314,200
injection,-0.5,-2.0,-1.0,3.0,0.03,ABC,0.6492,0.1339,0.90571,0.88390,0.03351,0.9831,False,0.5803,0.0587,200
injection,-0.5,-2.0,-2.0,1.0,0.01,ABCDE,0.4906,0.0083,0.98269,0.99736,0.29114,0.8419,False,0.5859,0.0148,200
injection,-0.5,-2.0,-2.0,1.0,0.01,ABC,0.5261,0.0078,0.93520,0.99736,0.29114,0.8419,False,0.5660,0.0146,200
injection,-0.5,-2.0,-2.0,1.0,0.03,ABCDE,0.5654,0.0179,0.96380,0.98915,0.02832,0.9857,False,0.6230,0.0180,200
injection,-0.5,-2.0,-2.0,1.0,0.03,ABC,0.5588,0.0091,0.89244,0.98915,0.02832,0.9857,False,0.5699,0.0178,200
injection,-0.5,-2.0,-2.0,1.5,0.01,ABCDE,0.4960,0.0085,0.98269,0.99499,0.29114,0.8419,False,0.5274,0.0156,200
injection,-0.5,-2.0,-2.0,1.5,0.01,ABC,0.5310,0.0243,0.93520,0.99499,0.29114,0.8419,False,0.5840,0.0323,200
injection,-0.5,-2.0,-2.0,1.5,0.03,ABCDE,0.5657,0.0170,0.96380,0.97967,0.02832,0.9857,False,0.5907,0.0203,200
injection,-0.5,-2.0,-2.0,1.5,0.03,ABC,0.5561,0.0398,0.89244,0.97967,0.02832,0.9857,False,0.5894,0.0327,200
injection,-0.5,-2.0,-2.0,2.0,0.01,ABCDE,0.5013,0.0247,0.98269,0.98943,0.29114,0.8419,False,0.6529,0.0182,200
injection,-0.5,-2.0,-2.0,2.0,0.01,ABC,0.5349,0.0413,0.93520,0.98943,0.29114,0.8419,False,0.5798,0.0383,200
injection,-0.5,-2.0,-2.0,2.0,0.03,ABCDE,0.5674,0.0445,0.96380,0.95726,0.02832,0.9857,False,0.5309,0.0176,200
injection,-0.5,-2.0,-2.0,2.0,0.03,ABC,0.5575,0.0688,0.89244,0.95726,0.02832,0.9857,False,0.5192,0.0387,200
injection,-0.5,-2.0,-2.0,3.0,0.01,ABCDE,0.5138,0.0565,0.98269,0.96938,0.29114,0.8419,False,0.5972,0.0259,200
injection,-0.5,-2.0,-2.0,3.0,0.01,ABC,0.5473,0.0740,0.93520,0.96938,0.29114,0.8419,False,0.4787,0.0335,200
injection,-0.5,-2.0,-2.0,3.0,0.03,ABCDE,0.5685,0.0992,0.96380,0.88390,0.02832,0.9857,False,0.5300,0.0142,200
injection,-0.5,-2.0,-2.0,3.0,0.03,ABC,0.5537,0.1223,0.89244,0.88390,0.02832,0.9857,False,0.4920,0.0340,200
injection,-1.0,-0.5,-0.5,1.0,0.01,ABCDE,0.1900,0.0044,0.99552,0.99736,0.85697,0.3782,False,0.6048,0.0222,200
injection,-1.0,-0.5,-0.5,1.0,0.01,ABC,0.1586,0.0042,0.99761,0.99736,0.85697,0.3782,False,0.4557,0.0216,200
injection,-1.0,-0.5,-0.5,1.0,0.03,ABCDE,0.2354,0.0085,0.98386,0.98915,0.82288,0.4209,False,0.4844,0.0499,200
injection,-1.0,-0.5,-0.5,1.0,0.03,ABC,0.1674,0.0069,0.99389,0.98915,0.82288,0.4209,False,0.4808,0.0229,200
injection,-1.0,-0.5,-0.5,1.5,0.01,ABCDE,0.1896,0.0128,0.99552,0.99499,0.85697,0.3782,False,0.6212,0.0474,200
injection,-1.0,-0.5,-0.5,1.5,0.01,ABC,0.1559,0.0201,0.99761,0.99499,0.85697,0.3782,False,0.5534,0.0292,200
injection,-1.0,-0.5,-0.5,1.5,0.03,ABCDE,0.2355,0.0272,0.98386,0.97967,0.82288,0.4209,False,0.5642,0.0372,200
injection,-1.0,-0.5,-0.5,1.5,0.03,ABC,0.1629,0.0388,0.99389,0.97967,0.82288,0.4209,False,0.3441,0.0312,200
injection,-1.0,-0.5,-0.5,2.0,0.01,ABCDE,0.1895,0.0301,0.99552,0.98943,0.85697,0.3782,False,0.4831,0.0634,200
injection,-1.0,-0.5,-0.5,2.0,0.01,ABC,0.1537,0.0363,0.99761,0.98943,0.85697,0.3782,False,0.4748,0.0302,200
injection,-1.0,-0.5,-0.5,2.0,0.03,ABCDE,0.2365,0.0615,0.98386,0.95726,0.82288,0.4209,False,0.5006,0.0386,200
injection,-1.0,-0.5,-0.5,2.0,0.03,ABC,0.1598,0.0706,0.99389,0.95726,0.82288,0.4209,False,0.4049,0.0407,200
injection,-1.0,-0.5,-0.5,3.0,0.01,ABCDE,0.1908,0.0641,0.99552,0.96938,0.85697,0.3782,False,0.3982,0.0454,200
